democratic_connection_profile,democracy_satisfaction,party_trust,political_efficacy,social_trust,income_feeling,left_right_placement,voted
Connected Democratic Core,10.0,6.0,3.0,7.666666666666667,1.0,0.0,1
Disengaged Non-voters,0.0,0.0,1.6666666666666667,3.0,2.0,5.0,0
Connected Democratic Core,10.0,5.0,1.6666666666666667,6.666666666666667,1.0,5.0,1
Disappointed Democratic Participants,0.0,0.0,1.75,5.0,2.0,5.0,1
Disappointed Democratic Participants,2.0,0.0,1.5,2.6666666666666665,2.0,7.0,1
Connected Democratic Core,5.0,5.0,2.75,7.666666666666667,1.0,6.0,1
Connected Democratic Core,6.0,5.0,2.5,5.0,2.0,3.0,1
Connected Democratic Core,8.0,6.0,3.25,6.666666666666667,1.0,3.0,1
Disappointed Democratic Participants,4.0,3.0,2.5,3.0,2.0,3.0,1
Connected Democratic Core,9.0,3.0,3.25,5.0,2.0,5.0,1
Connected Democratic Core,7.0,7.0,3.0,7.666666666666667,1.0,3.0,1
Disengaged Non-voters,5.0,0.0,2.0,5.0,2.0,4.0,0
Connected Democratic Core,8.0,5.0,2.25,6.666666666666667,1.0,4.0,1
