stfdem,trstprt,political_efficacy_index,social_trust_index,hincfel,lrscale,eduyrs,agea,gndr,vote_clean,vote_binary,political_efficacy_index_z,social_trust_index_z,hincfel_z,lrscale_z,eduyrs_z,agea_z,gender_numeric,cluster,connection_profile
8.0,5.0,2.75,3.3333333333333335,1.0,5.0,17.0,34.0,1.0,Voted,1,0.3258882453885992,-1.4261907578639312,-0.8684841111860602,0.25952744239745473,0.6735909491707062,-1.0366853315174993,1.0,1,Connected democratic core
7.0,3.0,2.75,7.333333333333333,2.0,3.0,17.0,42.0,2.0,Voted,1,0.3258882453885992,1.064388998941671,0.6688668369168803,-0.8705667371560182,0.6735909491707062,-0.5887643509330072,2.0,1,Connected democratic core
8.0,7.0,2.0,6.666666666666667,1.0,5.0,13.0,58.0,2.0,Voted,1,-0.7238256520170899,0.6492923728074044,-0.8684841111860602,0.25952744239745473,-0.5288235105813693,0.3070776102359771,2.0,1,Connected democratic core
8.0,7.0,3.25,7.333333333333333,1.0,6.0,17.0,40.0,1.0,Voted,1,1.025697510325725,1.064388998941671,-0.8684841111860602,0.8245745321741912,0.6735909491707062,-0.7007445960791301,1.0,1,Connected democratic core
9.0,7.0,3.25,4.666666666666667,2.0,3.0,17.0,46.0,1.0,Voted,1,1.025697510325725,-0.595997505595397,0.6688668369168803,-0.8705667371560182,0.6735909491707062,-0.36480386064076104,1.0,1,Connected democratic core
5.0,5.0,2.75,7.0,2.0,5.0,11.0,56.0,1.0,Voted,1,0.3258882453885992,0.8568406858745377,0.6688668369168803,0.25952744239745473,-1.130030740457407,0.19509736508985406,1.0,1,Connected democratic core
2.0,0.0,2.0,2.6666666666666665,2.0,7.0,15.0,63.0,1.0,Voted,1,-0.7238256520170899,-1.8412873839981987,0.6688668369168803,1.3896216219509276,0.0723837192946684,0.5870282231012847,1.0,0,At-risk democratic participants
7.0,5.0,3.0,4.666666666666667,1.0,4.0,14.0,24.0,1.0,Voted,1,0.6757928778571621,-0.595997505595397,-0.8684841111860602,-0.3055196473792817,-0.22821989564335046,-1.5965865572481144,1.0,1,Connected democratic core
9.0,7.0,3.0,6.666666666666667,1.0,4.0,20.0,57.0,1.0,Voted,1,0.6757928778571621,0.6492923728074044,-0.8684841111860602,-0.3055196473792817,1.5754017939847627,0.2510874876629156,1.0,1,Connected democratic core
6.0,5.0,3.0,4.666666666666667,2.0,5.0,15.0,66.0,1.0,Voted,1,0.6757928778571621,-0.595997505595397,0.6688668369168803,0.25952744239745473,0.0723837192946684,0.7549985908204692,1.0,1,Connected democratic core
5.0,4.0,2.25,6.0,2.0,8.0,9.0,80.0,1.0,Voted,1,-0.37392101954852686,0.23419574667313706,0.6688668369168803,1.9546687117276642,-1.7312379703334448,1.5388603068433304,1.0,0,At-risk democratic participants
9.0,6.0,3.75,7.0,1.0,3.0,28.0,64.0,1.0,Voted,1,1.7255067752628512,0.8568406858745377,-0.8684841111860602,-0.8705667371560182,3.980230713488914,0.6430183456743461,1.0,1,Connected democratic core
6.0,6.0,3.0,6.333333333333333,2.0,6.0,18.0,38.0,1.0,Voted,1,0.6757928778571621,0.4417440597402704,0.6688668369168803,0.8245745321741912,0.974194564108725,-0.8127248412252531,1.0,1,Connected democratic core
6.0,5.0,3.25,6.666666666666667,1.0,7.0,16.0,73.0,1.0,Voted,1,1.025697510325725,0.6492923728074044,-0.8684841111860602,1.3896216219509276,0.37298733423268726,1.1469294488318997,1.0,1,Connected democratic core
3.0,3.0,2.25,6.0,2.0,3.0,18.0,49.0,2.0,Voted,1,-0.37392101954852686,0.23419574667313706,0.6688668369168803,-0.8705667371560182,0.974194564108725,-0.1968334929215765,2.0,0,At-risk democratic participants
1.0,5.0,2.0,5.666666666666667,3.0,0.0,14.0,50.0,2.0,Voted,1,-0.7238256520170899,0.026647433606003672,2.206217785019821,-2.5657080064862274,-0.22821989564335046,-0.14084337034851502,2.0,0,At-risk democratic participants
7.0,3.0,3.25,6.0,1.0,5.0,15.0,60.0,2.0,Voted,1,1.025697510325725,0.23419574667313706,-0.8684841111860602,0.25952744239745473,0.0723837192946684,0.4190578553821001,2.0,1,Connected democratic core
8.0,1.0,4.0,4.0,2.0,5.0,19.0,41.0,1.0,Voted,1,2.0754114077314143,-1.0110941317296642,0.6688668369168803,0.25952744239745473,1.274798179046744,-0.6447544735060686,1.0,1,Connected democratic core
4.0,5.0,3.75,5.0,2.0,4.0,15.0,28.0,2.0,Voted,1,1.7255067752628512,-0.3884491925282636,0.6688668369168803,-0.3055196473792817,0.0723837192946684,-1.3726260669558683,2.0,1,Connected democratic core
7.0,7.0,2.75,6.333333333333333,2.0,4.0,17.0,39.0,2.0,Voted,1,0.3258882453885992,0.4417440597402704,0.6688668369168803,-0.3055196473792817,0.6735909491707062,-0.7567347186521917,2.0,1,Connected democratic core
3.0,5.0,2.0,8.333333333333334,2.0,5.0,11.0,47.0,2.0,Voted,1,-0.7238256520170899,1.6870339381430723,0.6688668369168803,0.25952744239745473,-1.130030740457407,-0.3088137380676995,2.0,0,At-risk democratic participants
8.0,7.0,2.0,6.666666666666667,1.0,2.0,14.0,62.0,2.0,Voted,1,-0.7238256520170899,0.6492923728074044,-0.8684841111860602,-1.4356138269327547,-0.22821989564335046,0.5310381005282232,2.0,1,Connected democratic core
8.0,2.0,2.0,6.666666666666667,1.0,5.0,11.0,72.0,2.0,Voted,1,-0.7238256520170899,0.6492923728074044,-0.8684841111860602,0.25952744239745473,-1.130030740457407,1.0909393262588383,2.0,1,Connected democratic core
7.0,2.0,2.5,5.333333333333333,1.0,5.0,13.0,39.0,1.0,Voted,1,-0.024016387079963866,-0.18090087946113026,-0.8684841111860602,0.25952744239745473,-0.5288235105813693,-0.7567347186521917,1.0,0,At-risk democratic participants
8.0,3.0,2.5,6.333333333333333,2.0,4.0,13.0,38.0,1.0,Voted,1,-0.024016387079963866,0.4417440597402704,0.6688668369168803,-0.3055196473792817,-0.5288235105813693,-0.8127248412252531,1.0,1,Connected democratic core
5.0,1.0,2.5,5.666666666666667,3.0,3.0,13.0,39.0,1.0,Did not vote,0,-0.024016387079963866,0.026647433606003672,2.206217785019821,-0.8705667371560182,-0.5288235105813693,-0.7567347186521917,1.0,2,Disengaged non-voters
0.0,0.0,2.0,6.666666666666667,3.0,0.0,10.0,59.0,1.0,Voted,1,-0.7238256520170899,0.6492923728074044,2.206217785019821,-2.5657080064862274,-1.430634355395426,0.3630677328090386,1.0,0,At-risk democratic participants
8.0,6.0,3.25,6.0,2.0,2.0,16.0,28.0,1.0,Voted,1,1.025697510325725,0.23419574667313706,0.6688668369168803,-1.4356138269327547,0.37298733423268726,-1.3726260669558683,1.0,1,Connected democratic core
4.0,2.0,1.75,6.0,1.0,5.0,11.0,75.0,1.0,Voted,1,-1.0737302844856529,0.23419574667313706,-0.8684841111860602,0.25952744239745473,-1.130030740457407,1.2589096939780229,1.0,0,At-risk democratic participants
5.0,1.0,1.5,7.0,2.0,5.0,13.0,66.0,2.0,Did not vote,0,-1.423634916954216,0.8568406858745377,0.6688668369168803,0.25952744239745473,-0.5288235105813693,0.7549985908204692,2.0,2,Disengaged non-voters
3.0,1.0,1.0,4.333333333333333,2.0,5.0,12.0,58.0,2.0,Voted,1,-2.123444181891342,-0.8035458186625309,0.6688668369168803,0.25952744239745473,-0.8294271255193882,0.3070776102359771,2.0,0,At-risk democratic participants
5.0,2.0,2.25,3.3333333333333335,2.0,5.0,16.0,22.0,2.0,Voted,1,-0.37392101954852686,-1.4261907578639312,0.6688668369168803,0.25952744239745473,0.37298733423268726,-1.7085668023942373,2.0,0,At-risk democratic participants
