cntry,stfdem,trstprl,trstplt,trstprt,trstlgl,trstplc,trstep,trstun,social_trust_index,social_trust_group,political_efficacy_index,efficacy_group,vote_clean,hincfel,lrscale,lr_group,eduyrs,agea,gndr
DE,6.0,3.0,3.0,4.0,8.0,9.0,1.0,4.0,5.666666666666667,Medium social trust,3.5,High efficacy,Voted,1.0,7.0,Right (7-10),18.0,61.0,1.0
DE,7.0,5.0,5.0,0.0,8.0,9.0,0.0,6.0,5.666666666666667,Medium social trust,2.5,Medium efficacy,Voted,1.0,6.0,Center (4-6),16.0,60.0,1.0
DE,8.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,7.333333333333333,High social trust,2.25,Low efficacy,Voted,3.0,5.0,Center (4-6),12.0,75.0,2.0
DE,9.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,6.0,Medium social trust,3.5,High efficacy,Voted,1.0,4.0,Center (4-6),17.0,37.0,2.0
DE,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,6.0,Medium social trust,2.25,Low efficacy,Voted,2.0,3.0,Left (0-3),18.0,87.0,1.0
DE,2.0,1.0,1.0,1.0,8.0,8.0,3.0,1.0,6.666666666666667,High social trust,2.25,Low efficacy,Did not vote,2.0,6.0,Center (4-6),12.0,24.0,1.0
DE,8.0,7.0,6.0,5.0,7.0,7.0,6.0,6.0,5.0,Low social trust,2.75,Medium efficacy,Voted,1.0,5.0,Center (4-6),13.0,38.0,2.0
DE,6.0,5.0,8.0,8.0,3.0,10.0,4.0,5.0,7.0,High social trust,1.0,Low efficacy,Voted,2.0,4.0,Center (4-6),16.0,59.0,2.0
DE,5.0,4.0,3.0,3.0,4.0,6.0,3.0,5.0,6.666666666666667,High social trust,1.5,Low efficacy,Did not vote,2.0,4.0,Center (4-6),15.0,20.0,1.0
DE,5.0,0.0,3.0,5.0,5.0,10.0,3.0,3.0,7.0,High social trust,1.5,Low efficacy,Did not vote,3.0,5.0,Center (4-6),13.0,41.0,1.0
