PC1,PC2,PC3,cluster,democratic_connection_profile,Democracy satisfaction,Party trust,Political efficacy,Social trust,Income feeling,Left-right placement,Voting participation
0.5693609510830767,0.7458666381296403,0.0223674994395293,1,Connected Democratic Core,8.0,5.0,2.75,3.3333333333333335,1.0,5.0,1
0.6905917847436335,-0.7257625304929596,-0.5771535072367918,1,Connected Democratic Core,7.0,3.0,2.75,7.333333333333333,2.0,3.0,1
1.37996589638956,0.29113841053404127,0.6449925494677287,1,Connected Democratic Core,8.0,7.0,2.0,6.666666666666667,1.0,5.0,1
2.195786299612087,0.6220991034197882,1.1636303152122545,1,Connected Democratic Core,8.0,7.0,3.25,7.333333333333333,1.0,6.0,1
1.6504203926461305,-1.0068212188418453,-0.22302900202789694,1,Connected Democratic Core,9.0,7.0,3.25,4.666666666666667,2.0,3.0,1
0.4598109784213707,-0.1735643952125294,0.3829455552592217,1,Connected Democratic Core,5.0,5.0,2.75,7.0,2.0,5.0,1
-2.9980774121734313,1.3006807602662631,-0.030530530635834274,0,Disappointed Democratic Participants,2.0,0.0,2.0,2.6666666666666665,2.0,7.0,1
0.9623514815017031,0.4419090203108647,-0.3752832039591757,1,Connected Democratic Core,7.0,5.0,3.0,4.666666666666667,1.0,4.0,1
2.294420149619621,-0.00018002542015154073,0.25711527532965517,1,Connected Democratic Core,9.0,7.0,3.0,6.666666666666667,1.0,4.0,1
0.23872243426327885,-0.06411234865655464,0.20463604436975813,1,Connected Democratic Core,6.0,5.0,3.0,4.666666666666667,2.0,5.0,1
-0.6471436678582109,0.8339063234291209,1.5337169501978525,0,Disappointed Democratic Participants,5.0,4.0,2.25,6.0,2.0,8.0,1
2.714532863828509,-0.1757993512750354,-0.2963258798939735,1,Connected Democratic Core,9.0,6.0,3.75,7.0,1.0,3.0,1
0.7632459714394088,0.026901370336628025,0.9709211648290589,1,Connected Democratic Core,6.0,6.0,3.0,6.333333333333333,2.0,6.0,1
1.0782873734072511,1.269063623365854,1.138296353549998,1,Connected Democratic Core,6.0,5.0,3.25,6.666666666666667,1.0,7.0,1
-0.7147258106974078,-0.41869076430406116,-1.0515195686796621,0,Disappointed Democratic Participants,3.0,3.0,2.25,6.0,2.0,3.0,1
-0.9690661454045097,-2.2149368688514888,-2.181524327331359,0,Disappointed Democratic Participants,1.0,5.0,2.0,5.666666666666667,3.0,0.0,1
0.8718923833503603,0.8463061360157483,-0.01571190358616313,1,Connected Democratic Core,7.0,3.0,3.25,6.0,1.0,5.0,1
0.1596307568171647,0.28674046399486314,-0.20380271797479066,1,Connected Democratic Core,8.0,1.0,4.0,4.0,2.0,5.0,1
0.4999136388931248,-0.2060015353060737,-0.3927501081591472,1,Connected Democratic Core,4.0,5.0,3.75,5.0,2.0,4.0,1
1.2529288742932343,-0.7314973940118622,0.26055728560764413,1,Connected Democratic Core,7.0,7.0,2.75,6.333333333333333,2.0,4.0,1
-0.061652744390063574,-0.1862035770771122,0.3731721259985903,0,Disappointed Democratic Participants,3.0,5.0,2.0,8.333333333333334,2.0,5.0,1
1.709399761649234,-0.5905825755513074,-0.7330343094704928,1,Connected Democratic Core,8.0,7.0,2.0,6.666666666666667,1.0,2.0,1
0.23567320799053312,0.7491577852099606,0.03354232444638993,1,Connected Democratic Core,8.0,2.0,2.0,6.666666666666667,1.0,5.0,1
0.02277862461850921,0.9334840966659004,-0.20312368251226892,0,Disappointed Democratic Participants,7.0,2.0,2.5,5.333333333333333,1.0,5.0,1
0.3786965119082501,-0.44406279296086726,-0.1425722460096284,1,Connected Democratic Core,8.0,3.0,2.5,6.333333333333333,2.0,4.0,1
-1.9263250509423337,-3.04039349932902,0.376863296451232,2,Disengaged Non-voters,5.0,1.0,2.5,5.666666666666667,3.0,3.0,0
-2.0639630846832313,-1.7610241279653447,-2.7653004000220944,0,Disappointed Democratic Participants,0.0,0.0,2.0,6.666666666666667,3.0,0.0,1
1.661864150089765,-1.235488853344903,-0.7400566231858434,1,Connected Democratic Core,8.0,6.0,3.25,6.0,2.0,2.0,1
-0.8547656369888353,1.0280276824449583,-0.36987574858458955,0,Disappointed Democratic Participants,4.0,2.0,1.75,6.0,1.0,5.0,1
-2.0123918034407806,-1.744271224830575,1.2512281261996865,2,Disengaged Non-voters,5.0,1.0,1.5,7.0,2.0,5.0,0
-2.5609829272889497,0.38205091962595816,-0.5475022389798776,0,Disappointed Democratic Participants,3.0,1.0,1.0,4.333333333333333,2.0,5.0,1
-1.4241889386240933,0.31345612950760604,-0.3843344613765722,0,Disappointed Democratic Participants,5.0,2.0,2.25,3.3333333333333335,2.0,5.0,1
1.2781095805111615,-0.43532111973774557,0.6985686978426103,1,Connected Democratic Core,9.0,7.0,3.0,4.666666666666667,2.0,5.0,1
0.692027983556942,-1.7398157987923395,-1.8794992440968732,1,Connected Democratic Core,9.0,4.0,2.0,5.333333333333333,2.0,0.0,1
-0.6217537419007093,0.7329081757698012,-0.08020181607354349,0,Disappointed Democratic Participants,7.0,5.0,1.25,3.0,1.0,5.0,1
0.7588312982729027,1.443755030780554,0.9023015078153286,1,Connected Democratic Core,6.0,4.0,3.5,5.666666666666667,1.0,7.0,1
-0.46365448157774947,1.3883409616113676,0.048569071620394554,0,Disappointed Democratic Participants,7.0,0.0,2.5,5.666666666666667,1.0,6.0,1
0.39727210111340355,-1.2790464513484447,0.8787494142130151,1,Connected Democratic Core,8.0,5.0,2.25,7.333333333333333,3.0,5.0,1
2.666464642723312,-0.014640356543036569,0.29971795018695324,1,Connected Democratic Core,9.0,8.0,3.5,6.0,1.0,4.0,1
-0.9086158343268316,-0.35602375723378676,-1.1346370898344342,0,Disappointed Democratic Participants,2.0,3.0,2.25,6.0,2.0,3.0,1
-2.326903714446627,-1.1911636531128873,1.4155479094845729,2,Disengaged Non-voters,2.0,1.0,2.25,6.666666666666667,2.0,6.0,0
0.9748372389992925,0.6345772366962239,0.2070202885818217,1,Connected Democratic Core,8.0,5.0,2.75,5.0,1.0,5.0,1
0.3812702564437968,-0.9191472637864012,0.3939828158292408,1,Connected Democratic Core,6.0,8.0,1.0,7.0,2.0,4.0,1
-1.5259586972445214,-2.199128089776042,0.9995353720670231,2,Disengaged Non-voters,5.0,3.0,1.5,6.666666666666667,2.0,4.0,0
-1.516885387910668,-2.9732820959707866,1.944082789387723,2,Disengaged Non-voters,5.0,5.0,1.5,7.0,3.0,5.0,0
0.5835789949302527,0.8598570307013758,0.7374647007676659,1,Connected Democratic Core,8.0,4.0,2.0,6.666666666666667,1.0,6.0,1
0.40081242900521635,-1.1905735799749233,-0.9209709863979074,1,Connected Democratic Core,9.0,4.0,1.75,5.666666666666667,2.0,2.0,1
-1.4794409020528647,-0.7184888606762696,0.8557122769483975,2,Disengaged Non-voters,3.0,3.0,2.5,4.666666666666667,1.0,5.0,0
1.0703597316524598,0.6371495904846746,0.23245247489138787,1,Connected Democratic Core,8.0,4.0,2.75,6.333333333333333,1.0,5.0,1
-1.293168440958549,2.0823614401780612,0.011965220788315233,0,Disappointed Democratic Participants,1.0,1.0,3.25,4.666666666666667,1.0,7.0,1
